Equipo,GF,GC,J
Mexico,6,0,3
South Africa,2,3,3
South Korea,2,3,3
Czech Republic,2,6,3
Switzerland,7,3,3
Canada,8,3,3
Bosnia and Herzegovina,5,6,3
Qatar,2,10,3
Brazil,7,1,3
Morocco,6,3,3
Scotland,1,4,3
Haiti,2,8,3
United States,6,1,2
Australia,2,2,2
Paraguay,2,4,2
Turkey,0,3,2
Germany,9,2,2
Ivory Coast,2,2,2
Ecuador,0,1,2
Curacao,1,7,2
Netherlands,7,3,2
Japan,6,2,2
Sweden,6,6,2
Tunisia,1,9,2
Egypt,4,2,2
Iran,2,2,2
Belgium,1,1,2
New Zealand,3,5,2
Spain,4,0,2
Uruguay,3,3,2
Cape Verde,2,2,2
Saudi Arabia,1,5,2
France,6,1,2
Norway,7,3,2
Senegal,3,6,2
Iraq,1,7,2
Argentina,5,0,2
Austria,3,3,2
Algeria,2,4,2
Jordan,2,5,2
Colombia,4,1,2
Portugal,6,1,2
DR Congo,1,2,2
Uzbekistan,1,8,2
England,4,2,2
Ghana,1,0,2
Croatia,3,4,2
Panama,0,2,2
